Class,IoU,Dice,Accuracy
background,0.8641794848609978,0.9203732930158786,0.9532150637375917
aeroplane,0.4801222542921702,0.5876142819722493,0.623753682925151
bicycle,0.07689359597861767,0.11912870034575462,0.20349211245775223
bird,0.29951916164473485,0.35192294183530304,0.4804437171954375
boat,0.27907353239133953,0.35605821330100296,0.3698575616710716
bottle,0.07972849423394483,0.11452863321584814,0.14803869964984748
bus,0.34824515487018387,0.3983989859882154,0.6361599158157002
car,0.2679700137753236,0.31758923593320343,0.3333800943458782
cat,0.34184612532456715,0.37861460248629253,0.734374753634135
chair,0.045890154391527174,0.06892583034932613,0.06286594662815333
cow,0.1434109192341566,0.18460827010373274,0.3564965307712555
diningtable,0.271649446648856,0.3368090795766976,0.319705132066327
dog,0.3175243479864938,0.37593373230525423,0.5182453095912933
horse,0.22575895101935775,0.2901989795543529,0.42935443713384513
motorbike,0.3144956220957366,0.39166533472863113,0.5884096413850785
person,0.329939429166502,0.39903554821322706,0.6341967820366726
pottedplant,0.05121400163454168,0.07538909300723497,0.06010539128499873
sheep,0.1155324369095839,0.15455018270474213,0.11737046534052262
sofa,0.11387508579840262,0.14310734067112207,0.34327366346350086
train,0.36127551432905924,0.459651712845597,0.48242805742969114
tvmonitor,0.16407268441149167,0.2263979666999408,0.18528389071042722
